Unnamed: 0,seed,n_exp,n_sim,num_weeks,num_agents,capacity,threshold,contagious_threshold,contagious_duration,SIR_AgentsRecoveryTime,people_memory_weight,contagious_thresholdNotPresent,num_contagious_agents,contagiousness,capacity_pct,mean_attendance,mean_contagious,mean_present_contagious,std_attendance,std_contagious,std_present_contagious
0,30318598,sett24_4,0,10,1500,1500,0.6,0.9,9,6,0.7,0.65,300,0.32,1.0,731.2,240.0,119.0,15.535765188750762,120.0,59.893238349583335
1,3952889,sett24_4,1,9,500,250,0.05,0.15,8,5,0.05,0.5,100,0.22,0.5,0.0,80.0,0.0,0.0,40.0,0.0
2,83755520,sett24_4,2,9,1500,1500,0.35,0.85,8,8,0.4,0.9,300,0.28,1.0,222.8,240.0,34.8,5.946427498927402,120.0,17.451647486698786
3,33398323,sett24_4,3,4,2500,2500,0.9,0.05,3,4,0.2,0.1,500,0.36,1.0,2290.0,333.3333333333333,165.33333333333334,250.11597310047992,235.70226039551585,233.81664231235172
4,78752536,sett24_4,4,14,500,500,0.45,0.05,9,5,0.55,0.65,100,0.3,1.0,135.42857142857142,161.14285714285714,55.0,4.499433070863891,152.7523004937158,49.62718149217365
5,87489910,sett24_4,5,9,1000,500,0.45,0.8,8,2,0.05,0.45,200,0.18,0.5,256.0,160.0,87.6,8.899438184514796,80.0,43.90261951182412
6,57045830,sett24_4,6,11,2500,2500,0.35,0.3,3,10,0.8,0.5,500,0.44,1.0,225.83333333333337,104.16666666666669,19.0,65.69225389817449,122.03062001900273,27.501515109777745
7,15450237,sett24_4,7,8,1500,750,0.05,0.55,7,10,0.2,0.1,300,0.2,0.5,0.0,225.0,0.0,0.0,129.9038105676658,0.0
8,77439340,sett24_4,8,10,4000,2000,0.4,0.45,9,6,0.3,0.4,800,0.22,0.5,712.8,640.0,196.6,3.1874754901018454,320.0,98.3129696428706
9,34357282,sett24_4,9,13,500,250,0.55,0.25,8,1,0.8,0.8,100,0.28,0.5,115.0,219.57142857142856,51.857142857142854,9.54687682663064,196.3159677246695,47.72668786636966
10,19979614,sett24_4,10,4,3500,3500,0.9,0.6,1,3,0.1,0.25,700,0.04,1.0,3142.6666666666665,0.0,0.0,128.1986306045774,0.0,0.0
11,32343666,sett24_4,11,4,2000,2000,0.7,0.85,1,2,0.7,0.9,400,0.08,1.0,1344.3333333333333,0.0,0.0,22.17105219775452,0.0,0.0
12,54327008,sett24_4,12,13,2500,2500,0.8,0.4,9,6,0.15,0.85,500,0.02,1.0,2020.2857142857144,1383.2857142857142,1095.571428571429,93.5089213249032,990.9759567914732,775.3586925035511
13,90319849,sett24_4,13,5,1500,750,0.45,0.9,4,7,0.2,0.2,300,0.4,0.5,343.6666666666667,200.0,81.0,25.90152290674988,141.4213562373095,57.52101065407897
14,15812745,sett24_4,14,4,2500,2500,0.4,0.65,2,10,0.8,0.5,500,0.44,1.0,778.6666666666666,166.66666666666666,61.333333333333336,83.84244483288614,235.70226039551585,86.73843182554982
15,82974259,sett24_4,15,6,4000,4000,0.8,0.7,5,1,0.15,0.45,800,0.5,1.0,3075.3333333333335,533.3333333333334,395.3333333333333,533.4068699303458,377.12361663282536,297.8728289425241
